"StateABV","StateName","PopulationPolled","PopulationBelowPovertyLVL","WhitePopulation","BlackPopulation","LatinoHispanic","WhitePopulationBelowPovertyLVL","BlackPopulationBelowPovertyLVL","LatinoHispanicBelowPovertyLVL"
"CA","California",37678735,6135142,23332028,2165064,14494492,3428428,534827,3294059
"TX","Texas",25923852,4472451,19462386,3014154,10005754,3090465,710752,2524283
"FL","Florida",19228208,3180109,14666794,3050172,4592774,2049223,838187,991264
"NY","New York",19164034,3005943,12388352,2960574,3541633,1404979,691900,917179
"IL","Illinois",12571110,1801118,9118539,1768093,2090162,963036,538580,429853
"PA","Pennsylvania",12365782,1666569,10137380,1319503,783216,1062555,381842,251215
"OH","Ohio",11258461,1775836,9305682,1349739,378848,1172207,461129,106544
"GA","Georgia",9737146,1788947,5894929,2981866,891906,798517,795848,271129
"MI","Michigan",9678203,1616870,7674964,1328874,455816,1003986,459716,123640
"NC","North Carolina",9592619,1667465,6690853,2034604,853155,890086,551510,283395
"NJ","New Jersey",8728868,944847,5983084,1151806,1662583,487782,230931,339535
"VA","Virginia",8008050,921822,5545654,1513373,690170,510230,302511,107942
"WA","Washington",6850693,908512,5337326,243229,819130,621592,60210,203237
"AZ","Arizona",6488917,1180690,5103360,266435,1963396,812681,64324,550792
"MA","Massachusetts",6471313,748905,5160090,457934,683895,466564,100814,200393
"IN","Indiana",6367947,978043,5374106,574180,411084,681078,183201,120401
"TN","Tennessee",6339352,1117594,4951084,1047890,314094,734167,299673,103920
"MO","Missouri",5863113,915972,4860469,663195,225638,641559,194389,61123
"MD","Maryland",5789228,576805,3342737,1697871,523683,236723,255253,73860
"WI","Wisconsin",5589889,724348,4849617,340239,355022,500832,127332,96335
"MN","Minnesota",5295613,596662,4497101,287916,263822,388624,102495,61956
"CO","Colorado",5161722,653969,4355553,201944,1086819,488873,48502,242079
"AL","Alabama",4711439,887260,3257503,1230563,189334,447715,383585,63643
"SC","South Carolina",4636314,830901,3130847,1263707,244200,405611,364374,74329
"LA","Louisiana",4494987,888280,2840459,1423292,210626,361857,473606,48838
"KY","Kentucky",4263217,805841,3747911,324755,138129,652084,102188,43982
"OR","Oregon",3862756,636947,3294249,69345,475620,497685,23454,131874
"OK","Oklahoma",3734458,624043,2740959,260877,361389,383454,78582,97129
"PR","Puerto Rico",3549931,1616117,2475356,298659,3514818,1097359,135929,1602862
"CT","Connecticut",3483303,366351,2703366,353868,512196,210675,74653,131468
"IA","Iowa",2992774,373883,2734132,90787,163259,302421,33109,40702
"MS","Mississippi",2890915,651545,1720081,1073533,78620,243657,382236,25202
"AR","Arkansas",2872497,553644,2247958,437724,199360,357625,147442,64175
"UT","Utah",2855909,351601,2505691,30514,382306,269376,7090,94698
"KS","Kansas",2810222,381353,2400983,158294,315624,287840,40274,79775
"NV","Nevada",2759180,426337,1906590,227453,760705,258553,58770,168033
"NM","New Mexico",2043677,429361,1498227,41067,966710,270375,11222,248513
"NE","Nebraska",1815585,231115,1602959,83732,181471,174540,25911,46679
"WV","West Virginia",1797793,323384,1689567,53448,22678,290627,17382,5543
"ID","Idaho",1584410,245177,1454511,9314,186402,211972,2432,48236
"HI","Hawaii",1369085,153944,342687,25836,134105,36878,2732,22319
"ME","Maine",1293513,180278,1230241,13906,18428,162012,6322,4776
"NH","New Hampshire",1283292,113840,1205395,15760,40493,102400,2902,8306
"RI","Rhode Island",1013455,144223,823532,64949,140287,93988,16667,46678
"MT","Montana",989932,150586,884813,4383,32388,117323,1203,8036
"DE","Delaware",900820,108315,627674,191587,79047,58607,36377,19972
"SD","South Dakota",814079,114907,694462,12254,26486,68705,4406,6869
"AK","Alaska",716218,72957,474449,23551,45979,31666,3817,4685
"ND","North Dakota",696195,79758,618579,10892,19399,55517,3511,4012
"DC","District of Columbia",613291,110365,243341,302940,63756,18700,80570,10184
"VT","Vermont",601732,69233,572309,6079,9602,63494,1454,1441
"WY","Wyoming",565647,64995,516116,5681,54188,54374,1057,11386
