"StateABV","StateName","MalePopulationNoHI","FemalePopulationNoHI"
"AL","Alabama",313448,287711
"AK","Alaska",70923,58041
"GA","Georgia",866461,813554
"HI","Hawaii",44986,35235
"ID","Idaho",122028,112766
"IL","Illinois",781758,616877
"IN","Indiana",435478,392864
"IA","Iowa",123063,99638
"KS","Kansas",167371,150748
"KY","Kentucky",260999,229263
"LA","Louisiana",358049,341703
"ME","Maine",73835,58195
"AZ","Arizona",531541,450843
"MD","Maryland",290633,232439
"MA","Massachusetts",143235,92728
"MI","Michigan",525233,418008
"MN","Minnesota",215491,161579
"MS","Mississippi",239103,223084
"MO","Missouri",379026,347507
"MT","Montana",82244,73023
"NE","Nebraska",101030,88071
"NV","Nevada",268464,237109
"NH","New Hampshire",66367,55685
"AR","Arkansas",216142,195291
"NJ","New Jersey",557806,465644
"NM","New Mexico",179916,156431
"NY","New York",1072464,804587
"NC","North Carolina",736003,654159
"ND","North Dakota",36036,28126
"OH","Ohio",610452,498153
"OK","Oklahoma",326797,300876
"OR","Oregon",261123,219207
"PA","Pennsylvania",612845,493829
"PR","Puerto Rico",144226,92278
"CA","California",3038520,2535325
"RI","Rhode Island",54705,41454
"SC","South Carolina",356635,323550
"SD","South Dakota",49078,41940
"TN","Tennessee",448864,370249
"TX","Texas",2747454,2616531
"UT","Utah",201251,179139
"VT","Vermont",22058,14100
"VA","Virginia",486238,429802
"WA","Washington",433774,353695
"WV","West Virginia",108633,100146
"CO","Colorado",354226,284625
"WI","Wisconsin",256567,191817
"WY","Wyoming",40586,35716
"CT","Connecticut",158940,120689
"DC","District of Columbia",22198,14813
"DE","Delaware",41484,33623
"FL","Florida",1840139,1634343
